'Number on Nodes Backbone', 'Ratio nodes adaptive', 'Di', 'avg degree bb, 'avg degree. c', 'avg_err'
26,0.37,3,5.3076923076923075,8.545454545454545,1.4563243808754043
25,0.0,3,5.28,7.0,1.6764128941526344
22,0.0,3,5.181818181818182,6.0,1.6260073732299716
31,0.05,3,5.419354838709677,7.166666666666667,1.6135529755355291
23,0.1,3,5.217391304347826,6.0,1.5494219103151148
31,0.15000000000000002,3,5.419354838709677,11.238095238095237,1.4415346472705572
27,0.2,3,5.333333333333333,9.0,1.3364721429647402
36,0.25,3,5.5,10.916666666666666,1.4438919947639086
43,0.0,4,5.5813953488372094,0.8181818181818182,0.36454157359175743
35,0.05,4,5.485714285714286,0.1,0.362885539705054
39,0.1,4,5.538461538461538,0.25,0.3205662033573839
42,0.15000000000000002,4,5.571428571428571,0.9473684210526315,0.3371146420336693
33,0.2,4,5.454545454545454,1.0769230769230769,0.3249052426388061
34,0.25,4,5.470588235294118,0.6666666666666666,0.35565028720718006
50,0.3,4,5.64,0.07407407407407407,0.34014355106363964
39,0.35,4,5.538461538461538,1.0666666666666667,0.34741237046713425
45,0.39999999999999997,4,5.6,0.0,0.35107329704533813
37,0.44999999999999996,4,5.513513513513513,1.4285714285714286,0.3547272838949605
48,0.49999999999999994,4,5.625,0.7,0.34749759988655654
47,0.5499999999999999,4,5.617021276595745,0.19047619047619047,0.3154649119432572
41,0.6,4,5.560975609756097,0.631578947368421,0.3228281022172891
32,0.65,4,5.4375,0.5,0.32475705883527956
44,0.7000000000000001,4,5.590909090909091,0.1,0.33490842260958315
30,0.7500000000000001,4,5.4,1.2307692307692308,0.34430403577252267
31,0.8000000000000002,4,5.419354838709677,0.5333333333333333,0.3473925822029982
36,0.8500000000000002,4,5.5,0.8571428571428571,0.3332479691234924
46,0.9000000000000002,4,5.608695652173913,0.5263157894736842,0.31981772690562676
37,0.9500000000000003,4,5.513513513513513,1.6923076923076923,0.3370285114359657
24,0.0,4,5.25,0.0,0.38303132373337506
25,0.05,4,5.28,1.4285714285714286,0.39045457113996745
25,0.1,4,5.28,0.6,0.3220494246241386
38,0.15000000000000002,4,5.526315789473684,0.8,0.32438305383703325
39,0.2,4,5.538461538461538,0.5,0.3808629098878135
36,0.25,4,5.5,1.2857142857142858,0.33296803353158366
23,0.3,4,5.217391304347826,1.4545454545454546,0.36728755162382226
33,0.35,4,5.454545454545454,1.0,0.36095820002073475
20,0.39999999999999997,4,5.1,0.5,0.34834547398099297
29,0.44999999999999996,4,5.379310344827586,0.4,0.3492310363743841
40,0.49999999999999994,4,5.55,0.47058823529411764,0.3309217541323795
32,0.5499999999999999,4,5.4375,0.8333333333333334,0.33800674305307454
35,0.6,4,5.485714285714286,1.3333333333333333,0.35186203912113684
20,0.65,4,5.1,0.4444444444444444,0.36408156624673027
23,0.7000000000000001,4,5.217391304347826,0.9090909090909091,0.3580413661754411
28,0.7500000000000001,4,5.357142857142857,0.42857142857142855,0.36038606882782864
24,0.8000000000000002,4,5.25,1.2,0.33634692993930043
21,0.8500000000000002,4,5.142857142857143,1.0,0.3601800127959588
32,0.9000000000000002,4,5.4375,0.8571428571428571,0.35342807780348706
